"verre_id","glass_name","source_url","nasal_engraving","glass_index","material","glass_supplier_name","tags"
656,Varilux XR pro Stylis et Stylis Transitions,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1790-XRPro67.tif.jpg"" alt=""Varilux XR pro Stylis et Stylis Transitions:nasal"">","1.67",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""e_accentdouble"", ""pi""]"
657,Varilux XR pro Lineis et Lineis Transitions,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1791-XRPro74.tif.jpg"" alt=""Varilux XR pro Lineis et Lineis Transitions:nasal"">","1.74",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""e_accentdouble"", ""7"", ""4""]"
658,Varilux XR pro Eye Protect System Orma,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1788-XRPro5.tif.jpg"" alt=""Varilux XR pro Eye Protect System Orma:nasal"">","1.5",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""e_accentdouble"", ""5""]"
659,Varilux XR pro Eye Protect System Airwear,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1792-XRProP.tif.jpg"" alt=""Varilux XR pro Eye Protect System Airwear:nasal"">","1.59",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""e_accentdouble"", ""P""]"
660,Varilux XR pro Eye Protect System Ormix,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1789-XRPro6.tif.jpg"" alt=""Varilux XR pro Eye Protect System Ormix:nasal"">","1.6",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""e_accentdouble"", ""6""]"
661,Varilux XR pro Eye Protect System Stylis,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1790-XRPro67.tif.jpg"" alt=""Varilux XR pro Eye Protect System Stylis:nasal"">","1.67",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""e_accentdouble"", ""pi""]"
662,Varilux XR pro Eye Protect System Lineis,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1791-XRPro74.tif.jpg"" alt=""Varilux XR pro Eye Protect System Lineis:nasal"">","1.74",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""e_accentdouble"", ""7"", ""4""]"
663,Varilux XR 4D Orma et Orma Transitions,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1783-XRDesign5.tif.jpg"" alt=""Varilux XR 4D Orma et Orma Transitions:nasal"">","1.5",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""e_accentdouble"", ""5""]"
664,Varilux XR 4D Airwear et Airwear Transitions,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1787-XRDesignP.tif.jpg"" alt=""Varilux XR 4D Airwear et Airwear Transitions:nasal"">","1.59",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""e_accentdouble"", ""P""]"
665,Varilux XR 4D Ormix et Ormix Transitions,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1784-XRDesign6.tif.jpg"" alt=""Varilux XR 4D Ormix et Ormix Transitions:nasal"">","1.6",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""e_accentdouble"", ""6""]"
666,Varilux XR 4D Stylis et Stylis Transitions,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1785-XRDesign67.tif.jpg"" alt=""Varilux XR 4D Stylis et Stylis Transitions:nasal"">","1.67",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""e_accentdouble"", ""pi""]"
667,Varilux XR 4D Lineis et Lineis Transitions,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1786-XRDesign74.tif.jpg"" alt=""Varilux XR 4D Lineis et Lineis Transitions:nasal"">","1.74",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""e_accentdouble"", ""7"", ""4""]"
668,Varilux XR 4D Eye Protect System Orma,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1783-XRDesign5.tif.jpg"" alt=""Varilux XR 4D Eye Protect System Orma:nasal"">","1.5",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""e_accentdouble"", ""5""]"
669,Varilux XR 4D Eye Protect System Airwear,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1787-XRDesignP.tif.jpg"" alt=""Varilux XR 4D Eye Protect System Airwear:nasal"">","1.59",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""e_accentdouble"", ""P""]"
670,Varilux XR 4D Eye Protect System Ormix,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1784-XRDesign6.tif.jpg"" alt=""Varilux XR 4D Eye Protect System Ormix:nasal"">","1.6",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""e_accentdouble"", ""6""]"
