id,nom_verre,gravure_nasale,matched_glass_name,matched_nasal_engraving,tags,match_score,indice_verre,materiaux,fournisseur,source_url
1969,ULTRA HD 1.67 + ULTRA HD IP 1.67 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_96-nas-mont-royal-03.tif.jpg,ULTRA HD 1.67 + ULTRA HD IP 1.67 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_96-nas-mont-royal-03.tif.jpg,['isi'],16.58823529411765,1.67,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
1970,ULTRA HD 1.74,https://si.france-optique.com/img/gravures/nasal/web_96-nas-mont-royal-03.tif.jpg,ULTRA HD 1.74,https://si.france-optique.com/img/gravures/nasal/web_96-nas-mont-royal-03.tif.jpg,['S'],16.58823529411765,1.74,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
1971,ULTRA HD Short 1.50 & ULTRA HD Short IP 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_96-nas-mont-royal-03.tif.jpg,ULTRA HD Short 1.50 & ULTRA HD Short IP 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_96-nas-mont-royal-03.tif.jpg,['triangle'],16.58823529411765,1.5,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
1972,ULTRA HD Short 1.60 & ULTRA HD Short IP 1.60 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_96-nas-mont-royal-03.tif.jpg,ULTRA HD Short 1.60 & ULTRA HD Short IP 1.60 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_96-nas-mont-royal-03.tif.jpg,['triangle'],16.58823529411765,1.6,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
1973,ULTRA HD Short 1.67 & ULTRA HD Short IP 1.67 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_96-nas-mont-royal-03.tif.jpg,ULTRA HD Short 1.67 & ULTRA HD Short IP 1.67 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_96-nas-mont-royal-03.tif.jpg,"['l', 'triangle']",16.58823529411765,1.67,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
1974,ULTRA HD Short 1.74,https://si.france-optique.com/img/gravures/nasal/web_96-nas-mont-royal-03.tif.jpg,ULTRA HD Short 1.74,https://si.france-optique.com/img/gravures/nasal/web_96-nas-mont-royal-03.tif.jpg,"['V', '4', 'l']",16.58823529411765,1.74,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
1975,NATURAL 1.50 & NATURAL  IP 1.50  + Transitions,https://si.france-optique.com/img/gravures/nasal/web_97-nas-mont-royal-04.tif.jpg,NATURAL 1.50 & NATURAL  IP 1.50  + Transitions,https://si.france-optique.com/img/gravures/nasal/web_97-nas-mont-royal-04.tif.jpg,"['A', 'omega', 'N', 'k']",16.58823529411765,1.5,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2126,EPSY 167,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,EPSY 167,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,['triangle'],16.425531914893618,1.67,ORG,Fournisseur : OPHTALMIC  ...,https://www.france-optique.com/gravures/fournisseur=2395
2127,EPSY 167 Cozylens,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,EPSY 167 Cozylens,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,"['D', 'I', 'lune', '1', '6']",16.425531914893618,1.67,ORG,Fournisseur : OPHTALMIC  ...,https://www.france-optique.com/gravures/fournisseur=2395
2128,EPSY 167 Sunlite,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,EPSY 167 Sunlite,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,"['D', 'I', 'soleil', 'P', 'P', 'Z']",16.425531914893618,1.67,ORG,Fournisseur : OPHTALMIC  ...,https://www.france-optique.com/gravures/fournisseur=2395
