verre_id,glass_name,source_url,nasal_engraving,glass_index,material,glass_supplier_name,tags
914,"SEIKO PRIME X / FR 1,60 IP+ Bl./Sens./PolarT.",https://www.france-optique.com/gravures/fournisseur=1407,https://si.france-optique.com/img/gravures/nasal/web_270-nas-seiko-04.tif.jpg,1.60,ORG,SEIKO OPTICAL FRANCE,"[""CHA  CORRIDOR""]"
915,"InoTime® Attitude III® Fashion 15 & 18 1,67",https://www.france-optique.com/gravures/fournisseur=2397,https://si.france-optique.com/img/gravures/nasal/web_159-nas-shamir-14.tif.jpg,1.67,ORG,SHAMIR FRANCE,"[""CHA  CORRIDOR""]"
916,INDOOR® Fit Room,https://www.france-optique.com/gravures/fournisseur=789,https://si.france-optique.com/img/gravures/nasal/web_1605-nas-optovision-FR.tif.jpg,pas d'indice,Orgalit®,OPTOVISION GmbH,"[""FA""]"
917,INDOOR® Fit Individuell,https://www.france-optique.com/gravures/fournisseur=789,https://si.france-optique.com/img/gravures/nasal/web_1564-nas-optovision-F.tif.jpg,pas d'indice,Orgalit®,OPTOVISION GmbH,"[""FA""]"
918,"SEIKO PRIME X / FR 1,50 Bl./Sens./Pola.",https://www.france-optique.com/gravures/fournisseur=1407,https://si.france-optique.com/img/gravures/nasal/web_271-nas-seiko-05.tif.jpg,1.50,ORG,SEIKO OPTICAL FRANCE,"[""FA""]"
919,"SEIKO SUPERIOR Xcel 1,74 IP+ Bl.",https://www.france-optique.com/gravures/fournisseur=1407,https://si.france-optique.com/img/gravures/nasal/web_267-nas-seiko-01.tif.jpg,1.74,ORG,SEIKO OPTICAL FRANCE,"[""FA""]"
920,"InoTime® Attitude III® Fashion 15 & 18 1,67 Transitions®",https://www.france-optique.com/gravures/fournisseur=2397,https://si.france-optique.com/img/gravures/nasal/web_160-nas-shamir-15.tif.jpg,1.67,ORG,SHAMIR FRANCE,"[""FA""]"
921,Orgalit® Premium,https://www.france-optique.com/gravures/fournisseur=789,https://si.france-optique.com/img/gravures/nasal/web_1580-nas-optovision-P1.tif.jpg,pas d'indice,Orgalit®,OPTOVISION GmbH,"[""FA""]"
922,"SEIKO SUPERIOR Xcel 1,67 IP+ Bl./Sens./PolarT.",https://www.france-optique.com/gravures/fournisseur=1407,https://si.france-optique.com/img/gravures/nasal/web_268-nas-seiko-02.tif.jpg,1.67,ORG,SEIKO OPTICAL FRANCE,"[""FA""]"
923,Orgalit® Premium Formula 2 Drive,https://www.france-optique.com/gravures/fournisseur=789,https://si.france-optique.com/img/gravures/nasal/web_1610-nas-optovision-P1D2.tif.jpg,pas d'indice,Orgalit®,OPTOVISION GmbH,"[""PDA  CORRIDOR""]"
924,Orgalit® Optimize,https://www.france-optique.com/gravures/fournisseur=789,https://si.france-optique.com/img/gravures/nasal/web_1578-nas-optovision-O1.tif.jpg,pas d'indice,Orgalit®,OPTOVISION GmbH,"[""PDA  CORRIDOR""]"
925,"SEIKO SUPERIOR Xcel 1,60 IP+ Bl./Sens./PolarT.",https://www.france-optique.com/gravures/fournisseur=1407,https://si.france-optique.com/img/gravures/nasal/web_270-nas-seiko-04.tif.jpg,1.60,ORG,SEIKO OPTICAL FRANCE,"[""PDA  CORRIDOR""]"
926,Orgalit® Optimize Formula 2 Drive,https://www.france-optique.com/gravures/fournisseur=789,https://si.france-optique.com/img/gravures/nasal/web_1611-nas-optovision-O1D2.tif.jpg,pas d'indice,Orgalit®,OPTOVISION GmbH,"[""PDA  CORRIDOR""]"
927,"SEIKO SUPERIOR Xcel 1,50 Bl./Sens./Pola.",https://www.france-optique.com/gravures/fournisseur=1407,https://si.france-optique.com/img/gravures/nasal/web_271-nas-seiko-05.tif.jpg,1.50,ORG,SEIKO OPTICAL FRANCE,"[""PDA  CORRIDOR""]"
928,"InoTime® Attitude III® Sport 1,6",https://www.france-optique.com/gravures/fournisseur=2397,https://si.france-optique.com/img/gravures/nasal/web_209-nas-shamir-62.tif.jpg,1.6,ORG,SHAMIR FRANCE,"[""PDA  CORRIDOR""]"
929,Orgalit® Polalit,https://www.france-optique.com/gravures/fournisseur=789,https://si.france-optique.com/img/gravures/nasal/web_1586-nas-optovision.tif.jpg,pas d'indice,POLA,OPTOVISION GmbH,"[""PDA  CORRIDOR""]"
930,"SEIKO SUPERIOR 1,74 IP+ Bl.",https://www.france-optique.com/gravures/fournisseur=1407,https://si.france-optique.com/img/gravures/nasal/web_267-nas-seiko-01.tif.jpg,1.74,ORG,SEIKO OPTICAL FRANCE,"[""BDA""]"
931,"InoTime® Attitude III® Sport 1,6 Transitions®",https://www.france-optique.com/gravures/fournisseur=2397,https://si.france-optique.com/img/gravures/nasal/web_210-nas-shamir-63.tif.jpg,1.6,ORG,SHAMIR FRANCE,"[""BDA""]"
932,"InoTime® Attitude III® Sport 1,67",https://www.france-optique.com/gravures/fournisseur=2397,https://si.france-optique.com/img/gravures/nasal/web_213-nas-shamir-66.tif.jpg,1.67,ORG,SHAMIR FRANCE,"[""BDA""]"
933,My-Kid,https://www.france-optique.com/gravures/fournisseur=789,https://si.france-optique.com/img/gravures/nasal/web_1804-nas-optovision-MK-nouvelletaille.tif.jpg,pas d'indice,Orgalit®,OPTOVISION GmbH,"[""BDA""]"
934,"SEIKO SUPERIOR 1,67 IP+ Bl./PolarT.",https://www.france-optique.com/gravures/fournisseur=1407,https://si.france-optique.com/img/gravures/nasal/web_268-nas-seiko-02.tif.jpg,1.67,ORG,SEIKO OPTICAL FRANCE,"[""BDA""]"
935,"InoTime® Attitude III® Sport 1,67 Transitions®",https://www.france-optique.com/gravures/fournisseur=2397,https://si.france-optique.com/img/gravures/nasal/web_214-nas-shamir-67.tif.jpg,1.67,ORG,SHAMIR FRANCE,"[""BDA""]"
936,Indoor+® Type A / B,https://www.france-optique.com/gravures/fournisseur=789,https://si.france-optique.com/img/gravures/nasal/web_1803-N8AB-nouvelletaille.tif.jpg,pas d'indice,Orgalit®,OPTOVISION GmbH,"[""BDA""]"
937,"SEIKO SUPERIOR 1,60 IP+ Bl./PolarT.",https://www.france-optique.com/gravures/fournisseur=1407,https://si.france-optique.com/img/gravures/nasal/web_270-nas-seiko-04.tif.jpg,1.60,ORG,SEIKO OPTICAL FRANCE,"[""SVIA""]"
938,I'Vision® WIDR® Regular,https://www.france-optique.com/gravures/fournisseur=789,https://si.france-optique.com/img/gravures/nasal/web_1963-nas-optovision-VW1.tif.jpg,pas d'indice,Orgalit©,OPTOVISION GmbH,"[""SVIA""]"
939,I'Vision® WIDR® Medium,https://www.france-optique.com/gravures/fournisseur=789,https://si.france-optique.com/img/gravures/nasal/web_1963-nas-optovision-VW1.tif.jpg,pas d'indice,Orgalit©,OPTOVISION GmbH,"[""SVIA""]"
940,"SEIKO SUPERIOR 1,50 Bl./Pola.",https://www.france-optique.com/gravures/fournisseur=1407,https://si.france-optique.com/img/gravures/nasal/web_271-nas-seiko-05.tif.jpg,1.50,ORG,SEIKO OPTICAL FRANCE,"[""SVIA""]"
941,"Attitude III Sport 18 1,5",https://www.france-optique.com/gravures/fournisseur=2397,https://si.france-optique.com/img/gravures/nasal/web_185-nas-shamir-38.tif.jpg,1.5,ORG,SHAMIR FRANCE,"[""SVIA""]"
942,I'Vision® WIDR® Short,https://www.france-optique.com/gravures/fournisseur=789,https://si.france-optique.com/img/gravures/nasal/web_1963-nas-optovision-VW1.tif.jpg,pas d'indice,Orgalit©,OPTOVISION GmbH,"[""SVIA""]"
943,"SEIKO EMBLEM XtraWide 1,74 IP+ Bl.",https://www.france-optique.com/gravures/fournisseur=1407,https://si.france-optique.com/img/gravures/nasal/web_267-nas-seiko-01.tif.jpg,1.74,ORG,SEIKO OPTICAL FRANCE,"[""SVIA""]"
944,"Attitude III Sport 18 1,5 Transitions®",https://www.france-optique.com/gravures/fournisseur=2397,https://si.france-optique.com/img/gravures/nasal/web_186-nas-shamir-39.tif.jpg,1.5,ORG,SHAMIR FRANCE,"[""SVPA""]"
945,I'Vision® WIDR® Flex,https://www.france-optique.com/gravures/fournisseur=789,https://si.france-optique.com/img/gravures/nasal/web_1963-nas-optovision-VW1.tif.jpg,pas d'indice,Orgalit©,OPTOVISION GmbH,"[""SVPA""]"
946,"SEIKO EMBLEM XtraWide / FR 1,67 IP+ Bl./Sens./ PolarT.",https://www.france-optique.com/gravures/fournisseur=1407,https://si.france-optique.com/img/gravures/nasal/web_268-nas-seiko-02.tif.jpg,1.67,ORG,SEIKO OPTICAL FRANCE,"[""SVPA""]"
947,"Attitude III Sport 18 1,5 Polarized",https://www.france-optique.com/gravures/fournisseur=2397,https://si.france-optique.com/img/gravures/nasal/web_188-nas-shamir-41.tif.jpg,1.5,ORG,SHAMIR FRANCE,"[""SVPA""]"
948,I'Vision® WIDR® Individuell,https://www.france-optique.com/gravures/fournisseur=789,https://si.france-optique.com/img/gravures/nasal/web_1963-nas-optovision-VW1.tif.jpg,pas d'indice,Orgalit©,OPTOVISION GmbH,"[""SVPA""]"
949,"SEIKO EMBLEM XtraWide / FR 1,60 IP+ Bl./Sens./ PolarT.",https://www.france-optique.com/gravures/fournisseur=1407,https://si.france-optique.com/img/gravures/nasal/web_270-nas-seiko-04.tif.jpg,1.60,ORG,SEIKO OPTICAL FRANCE,"[""SVPA""]"
951,"Attitude III Sport 18 1,6",https://www.france-optique.com/gravures/fournisseur=2397,https://si.france-optique.com/img/gravures/nasal/web_157-nas-shamir-12.tif.jpg,1.6,ORG,SHAMIR FRANCE,"[""PDA""]"
