id,source_url,nom_verre,gravure_nasale,indice,materiaux,fournisseur,created_at
23,https://www.france-optique.com/gravures/fournisseur=70,ALIENA MAX / ALIENA MAX BLUE NATURAL / ALIENA MAX FOTOCOLOR /  ALIENA MAX TRANSITION / ALIENA MAX XTRACTIVE /  ALIENA MAX POLARISANT,https://si.france-optique.com/img/gravures/nasal/web_1808-nas-trianglecarre.tif.jpg,1.6,ORG,Fournisseur : DIVEL FRAN ...,2025-06-13 13:22:10.876666
24,https://www.france-optique.com/gravures/fournisseur=70,ALIENA MAX / ALIENA MAX BLUE NATURAL /  ALIENA MAX TRANSITION /  ALIENA MAX POLARISANT,https://si.france-optique.com/img/gravures/nasal/web_1808-nas-trianglecarre.tif.jpg,1.67,ORG,Fournisseur : DIVEL FRAN ...,2025-06-13 13:22:10.976666
25,https://www.france-optique.com/gravures/fournisseur=70,ETEREA / ETEREA TRANSITION,https://si.france-optique.com/img/gravures/nasal/web_1807-nas-rond.tif.jpg,1.74,ORG,Fournisseur : DIVEL FRAN ...,2025-06-13 13:22:11.080000
26,https://www.france-optique.com/gravures/fournisseur=1958,NeoMADE/16 1.67,7N2,1.67,ORG AR blanc/couleur - Trans. - Photo - Pola,INDO OPTICAL France,2025-06-13 13:22:11.346666
35,https://www.france-optique.com/gravures/fournisseur=1958,NeoMADE/19 1.67,7N1,1.67,ORG AR blanc/couleur - Trans. - Photo - Pola,INDO OPTICAL France,2025-06-13 13:22:12.126666
36,https://www.france-optique.com/gravures/fournisseur=1958,NeoMADE/22 1.67,7N0,1.67,ORG AR blanc/couleur - Trans. - Photo - Pola,INDO OPTICAL France,2025-06-13 13:22:12.180000
37,https://www.france-optique.com/gravures/fournisseur=1958,NeoMADE/16 1.6,6N2,1.6,ORG AR blanc/couleur - Trans. - Photo - Pola,INDO OPTICAL France,2025-06-13 13:22:12.233333
38,https://www.france-optique.com/gravures/fournisseur=1958,NeoMADE/19 1.6,6N1,1.6,ORG AR blanc/couleur - Trans. - Photo - Pola,INDO OPTICAL France,2025-06-13 13:22:12.280000
39,https://www.france-optique.com/gravures/fournisseur=1958,NeoMADE/22 1.6,6N0,1.6,ORG AR blanc/couleur - Trans. - Photo - Pola,INDO OPTICAL France,2025-06-13 13:22:12.330000
40,https://www.france-optique.com/gravures/fournisseur=1958,NeoMADE/16 1.5,5N2,1.5,ORG AR blanc/couleur - Trans. - XTRActive - Photo,INDO OPTICAL France,2025-06-13 13:22:12.383333
41,https://www.france-optique.com/gravures/fournisseur=1958,NeoMADE/19 1.5,5N1,1.5,ORG AR blanc/couleur - Trans. - XTRActive - Photo,INDO OPTICAL France,2025-06-13 13:22:12.430000
